unit_id,coder_id,programmatic,parochial,antagonistic,propaganda
850352,Afonso,0,0,1,1
850352,Andre,0,0,0,1
850352,GPT,0,0,0,1
851054,Afonso,0,0,0,0
851054,Andre,0,0,0,0
851054,GPT,0,0,0,0
857701,Afonso,0,0,0,1
857701,Andre,0,0,0,1
857701,GPT,0,0,0,1
863249,Afonso,0,0,0,0
863249,Andre,0,0,0,0
863249,GPT,0,0,0,0
867666,Afonso,1,0,1,1
867666,Andre,1,1,0,1
867666,GPT,1,1,0,1
869451,Afonso,0,0,1,1
869451,Andre,0,0,1,1
869451,GPT,0,1,1,1
874174,Afonso,0,0,0,0
874174,Andre,0,0,0,0
874174,GPT,0,0,0,0
875292,Afonso,0,0,1,0
875292,Andre,0,0,1,0
875292,GPT,0,0,1,0
875645,Afonso,0,1,0,0
875645,Andre,0,1,0,0
875645,GPT,0,1,0,0
878336,Afonso,0,0,0,0
878336,Andre,0,0,0,0
878336,GPT,0,0,1,0
879361,Afonso,1,0,0,0
879361,Andre,1,0,0,0
879361,GPT,1,0,0,0
881975,Afonso,1,0,0,0
881975,Andre,1,0,0,0
881975,GPT,1,0,0,1
883318,Afonso,1,0,0,0
883318,Andre,1,0,0,0
883318,GPT,1,1,0,0
887527,Afonso,0,0,0,0
887527,Andre,0,0,0,0
887527,GPT,0,0,0,0
887999,Afonso,0,0,0,0
887999,Andre,0,0,0,0
887999,GPT,0,0,0,0
894462,Afonso,0,1,0,0
894462,Andre,0,1,0,0
894462,GPT,1,1,0,0
900185,Afonso,0,1,0,0
900185,Andre,0,1,0,0
900185,GPT,0,1,0,0
903051,Afonso,0,1,0,0
903051,Andre,0,1,0,0
903051,GPT,0,1,0,0
907039,Afonso,0,0,0,0
907039,Andre,0,0,0,0
907039,GPT,0,0,0,0
907542,Afonso,0,0,0,1
907542,Andre,0,0,0,0
907542,GPT,0,1,0,0
911932,Afonso,1,0,0,0
911932,Andre,0,0,0,0
911932,GPT,0,0,0,0
916369,Afonso,0,0,0,0
916369,Andre,0,0,0,0
916369,GPT,0,0,0,0
926840,Afonso,1,1,0,0
926840,Andre,1,1,0,0
926840,GPT,1,1,0,0
941076,Afonso,1,1,0,0
941076,Andre,1,1,0,1
941076,GPT,1,1,0,1
944203,Afonso,1,1,0,0
944203,Andre,1,1,0,0
944203,GPT,1,1,0,0
950459,Afonso,0,0,0,1
950459,Andre,0,0,0,1
950459,GPT,0,0,0,1
958331,Afonso,0,0,1,0
958331,Andre,0,0,1,0
958331,GPT,0,0,1,0
967412,Afonso,1,1,0,0
967412,Andre,1,1,0,0
967412,GPT,1,1,0,0
987722,Afonso,1,0,0,0
987722,Andre,1,0,0,0
987722,GPT,1,0,0,0
